facture_id;client_id;raison_sociale;contact_email;jours_retard;code_modele;objet_email;corps_email
FAC-2026-0115;CL-206;Boulangerie Pains & Traditions;compta@boulangerie.pains.et.traditions.fr;34;RELANCE_2;Relance — facture FAC-2026-0115 impayée;"Bonjour Karim Fontaine,
Malgré notre premier rappel, la facture FAC-2026-0115 (1477.18 € TTC, échéance 23/06/2026) demeure impayée. Merci de procéder au règlement sous 8 jours ou de nous contacter en cas de difficulté.
Cordialement,
Service ADV Fournitex"
FAC-2026-0116;CL-235;Sécurité Gardax;compta@securite.gardax.fr;34;RELANCE_2;Relance — facture FAC-2026-0116 impayée;"Bonjour Yanis Blanc,
Malgré notre premier rappel, la facture FAC-2026-0116 (2936.91 € TTC, échéance 23/06/2026) demeure impayée. Merci de procéder au règlement sous 8 jours ou de nous contacter en cas de difficulté.
Cordialement,
Service ADV Fournitex"
FAC-2026-0117;CL-205;Cabinet Architek;compta@cabinet.architek.fr;27;RELANCE_1;Rappel aimable — facture FAC-2026-0117;"Bonjour Olivier Meyer,
Sauf erreur de notre part, la facture FAC-2026-0117 de 1181.24 € TTC, échue le 30/06/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0118;CL-205;Cabinet Architek;compta@cabinet.architek.fr;27;RELANCE_1;Rappel aimable — facture FAC-2026-0118;"Bonjour Olivier Meyer,
Sauf erreur de notre part, la facture FAC-2026-0118 de 3228.96 € TTC, échue le 30/06/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0119;CL-225;Opticien Vision Claire;compta@opticien.vision.claire.fr;34;RELANCE_2;Relance — facture FAC-2026-0119 impayée;"Bonjour Emma Fontaine,
Malgré notre premier rappel, la facture FAC-2026-0119 (2490.83 € TTC, échéance 23/06/2026) demeure impayée. Merci de procéder au règlement sous 8 jours ou de nous contacter en cas de difficulté.
Cordialement,
Service ADV Fournitex"
FAC-2026-0120;CL-211;Plomberie Aquanet;compta@plomberie.aquanet.fr;27;RELANCE_1;Rappel aimable — facture FAC-2026-0120;"Bonjour Inès Meyer,
Sauf erreur de notre part, la facture FAC-2026-0120 de 1065.50 € TTC, échue le 30/06/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0121;CL-222;Boucherie Charolaise;compta@boucherie.charolaise.fr;49;RELANCE_3;Mise en demeure — facture FAC-2026-0121;"Bonjour Olivier Silva,
À ce jour et malgré nos relances, la facture FAC-2026-0121 (1756.35 € TTC) reste impayée. Sans règlement sous 8 jours, nous transmettrons le dossier à notre service recouvrement, avec application des pénalités prévues (art. L441-10 C. com.).
Service ADV Fournitex — copie : direction commerciale"
FAC-2026-0122;CL-227;Pressing Net Express;compta@pressing.net.express.fr;49;RELANCE_3;Mise en demeure — facture FAC-2026-0122;"Bonjour Hugo Marchal,
À ce jour et malgré nos relances, la facture FAC-2026-0122 (845.68 € TTC) reste impayée. Sans règlement sous 8 jours, nous transmettrons le dossier à notre service recouvrement, avec application des pénalités prévues (art. L441-10 C. com.).
Service ADV Fournitex — copie : direction commerciale"
FAC-2026-0123;CL-231;Peinture Déco Colori;compta@peinture.deco.colori.fr;49;RELANCE_3;Mise en demeure — facture FAC-2026-0123;"Bonjour Emma Benali,
À ce jour et malgré nos relances, la facture FAC-2026-0123 (3045.89 € TTC) reste impayée. Sans règlement sous 8 jours, nous transmettrons le dossier à notre service recouvrement, avec application des pénalités prévues (art. L441-10 C. com.).
Service ADV Fournitex — copie : direction commerciale"
FAC-2026-0124;CL-235;Sécurité Gardax;compta@securite.gardax.fr;49;RELANCE_3;Mise en demeure — facture FAC-2026-0124;"Bonjour Yanis Blanc,
À ce jour et malgré nos relances, la facture FAC-2026-0124 (3412.25 € TTC) reste impayée. Sans règlement sous 8 jours, nous transmettrons le dossier à notre service recouvrement, avec application des pénalités prévues (art. L441-10 C. com.).
Service ADV Fournitex — copie : direction commerciale"
FAC-2026-0125;CL-233;Paysagiste Vertparc;compta@paysagiste.vertparc.fr;49;RELANCE_3;Mise en demeure — facture FAC-2026-0125;"Bonjour Nadia Roche,
À ce jour et malgré nos relances, la facture FAC-2026-0125 (3520.01 € TTC) reste impayée. Sans règlement sous 8 jours, nous transmettrons le dossier à notre service recouvrement, avec application des pénalités prévues (art. L441-10 C. com.).
Service ADV Fournitex — copie : direction commerciale"
FAC-2026-0126;CL-216;École de Musique Crescendo;compta@ecole.de.musique.crescendo.fr;70;TRANSFERT_RECOUVREMENT;[RECOUVREMENT] École de Musique Crescendo — FAC-2026-0126;Dossier transmis au recouvrement : École de Musique Crescendo, facture FAC-2026-0126, solde 2803.54 € TTC, échue le 18/05/2026. Historique des relances joint.
FAC-2026-0127;CL-205;Cabinet Architek;compta@cabinet.architek.fr;57;RELANCE_3;Mise en demeure — facture FAC-2026-0127;"Bonjour Olivier Meyer,
À ce jour et malgré nos relances, la facture FAC-2026-0127 (3594.09 € TTC) reste impayée. Sans règlement sous 8 jours, nous transmettrons le dossier à notre service recouvrement, avec application des pénalités prévues (art. L441-10 C. com.).
Service ADV Fournitex — copie : direction commerciale"
FAC-2026-0128;CL-234;Informatique ProServ;compta@informatique.proserv.fr;70;TRANSFERT_RECOUVREMENT;[RECOUVREMENT] Informatique ProServ — FAC-2026-0128;Dossier transmis au recouvrement : Informatique ProServ, facture FAC-2026-0128, solde 1810.38 € TTC, échue le 18/05/2026. Historique des relances joint.
FAC-2026-0129;CL-210;Électricité Générale Volta;compta@electricite.generale.volta.fr;70;TRANSFERT_RECOUVREMENT;[RECOUVREMENT] Électricité Générale Volta — FAC-2026-0129;Dossier transmis au recouvrement : Électricité Générale Volta, facture FAC-2026-0129, solde 2526.04 € TTC, échue le 18/05/2026. Historique des relances joint.
FAC-2026-0134;CL-228;Institut Beauté Zen;compta@institut.beaute.zen.fr;27;RELANCE_1;Rappel aimable — facture FAC-2026-0134;"Bonjour Amel Dubois,
Sauf erreur de notre part, la facture FAC-2026-0134 de 1176.00 € TTC, échue le 30/06/2026, reste en attente de règlement. Il s'agit sans doute d'un oubli — merci de le régulariser sous 8 jours.
Bien cordialement,
Service ADV Fournitex"
FAC-2026-0138;CL-202;Menuiserie Lacan & Fils;compta@menuiserie.lacan.et.fils.fr;65;TRANSFERT_RECOUVREMENT;[RECOUVREMENT] Menuiserie Lacan & Fils — FAC-2026-0138;Dossier transmis au recouvrement : Menuiserie Lacan & Fils, facture FAC-2026-0138, solde 6240.00 € TTC, échue le 23/05/2026. Historique des relances joint.
